专利号,发明名称,发明人,申请人,发明类型,申请时间,申请是否缴费,申请缴费期限,是否初审,是否实质审查,是否实质审查缴费,第一次审核意见时间,第一次审核意见答复时间,第n次审核意见时间,第n次审核意见答复时间,撤回时间,撤回原因,是否进入初审合格阶段,是否驳回,驳回时间,是否视为撤回,是否视为撤回的时间,终止复审时间,是否授权,授权时间,授权最后缴费时间,最后恢复时间,年费缴费最近一年,年费缴费最近两年,是否已经出售,出售金额,变更公司,备注
2019103864963,一种多人脸同时识别的纠正方法,沈之锐,韶关市启之信息技术有限公司,发明,20190509,是,,是,是,是,,,,,20190814,,否,,,,,,否,,,,,,否,,,实质审查已缴费多仍有未缴费情况
202021380469X,一种智能衣柜,沈之锐,韶关市启之信息技术有限公司,实用新型,20200714,否,,否,否,否,,,20210325,20210525,20210714,,否,,,,,,否,,,,,,否,,,已缴费
2.02021E+12,一种智能阅读书架,沈之锐,韶关市启之信息技术有限公司,实用新型,20200706,否,,否,否,否,,,,,20210714,,否,,,,,,否,,,,,,否,,,查询信息不完整
2.02021E+12,一种检测是否戴口罩打喷嚏的电子口罩,沈之锐,韶关市启之信息技术有限公司,实用新型,20200706,否,,否,否,否,20210407,,,,20210728,,否,,,是,20210728,20211028,否,,,20211012,,,否,,,已缴费网上未更新缴费状态
2.02021E+12,一种骑行服,沈之锐,韶关市启之信息技术有限公司,实用新型,20200714,否,,否,否,否,20210407,,,,20210728,,否,,,是,20210728,20211028,否,,,20211012,,,否,,,查询信息不完整
2.02021E+12,一种具有表情展示功能的口罩,沈之锐,韶关市启之信息技术有限公司,实用新型,20200714,否,,否,否,否,20210407,,,,20210728,,否,,,是,20210728,20211028,否,,,20211012,,,否,,,已缴费网上未更新缴费状态
2.02021E+12,一种基于监测婴儿吐奶的口罩装置,沈之锐,韶关市启之信息技术有限公司,实用新型,20200706,否,,否,否,否,,,,,20210805,,否,,,是,20210805,20211105,否,,,20211020,,,否,,,已缴费网上未更新缴费状态
2.01911E+12,一种快速将纸质书内容转化为数字内容的方法与装置,沈之锐,韶关市启之信息技术有限公司,发明,20190615,是,,是,是,是,20201203,20210403,20210616,20210816,20210820,,否,是,20210820,,,20211120,否,,,,,,否,,,驳回等复审请求
2.01911E+12,一种验证视频是否被观看的方法与系统,沈之锐,韶关市启之信息技术有限公司,发明,20190615,是,,是,是,是,20210120,20210520,20210528,20210728,20210917,,否,,,是,20210917,20211217,否,,,20211202,,,否,,,
2.01911E+12,一种代码保护方法与装置,沈之锐,韶关市启之信息技术有限公司,发明,20190620,是,,是,是,是,20201102,20210302,20210602,20210802,20211113,,是,是,20210813,,,20211113,否,,,,,,否,,,驳回等复审请求
2.02021E+12,一种新型组合智能放歌浴室,沈之锐,韶关市启之信息技术有限公司,实用新型,20200714,是,,是,是,是,,,,,20201020,,否,,,,,,否,,,,,,否,,,
2.01911E+12,一种驾车玩手机行为的监控方法与系统,沈之锐,韶关市启之信息技术有限公司,发明,20190617,是,,是,是,是,20201124,20210324,20210413,20210613,20211019,,是,,,,,,是,20210628,20210912,20220103,20210913,,是,6200,四川龙爪猫网络科技有限公司,手续合格
202010577431X,一种共享停车应急处理方法与系统,沈之锐,韶关市启之信息技术有限公司,发明,20200623,是,,是,是,是,20210427,20210827,,,20211019,,是,,,是,20211219,20220319,否,,,20220103,,,否,,,
2.01911E+12,一种基于智能门锁开门规律的活动推荐方法与系统,沈之锐,韶关市启之信息技术有限公司,发明,20190614,是,,是,是,是,20201224,20210424,,,20211020,,是,,,,,,是,20210629,20210913,20220104,20210914,,是,10500,深圳泓越信息科技有限公司,手续合格
2.0191E+12,一种弹幕的智能显示方法与系统,沈之锐,韶关市启之信息技术有限公司,发明,20190513,是,,是,是,是,20210412,20210812,,,20211008,,是,,,是,20211008,20220108,否,,,20211223,,,否,,,
2.02021E+12,一种警报器,沈之锐,韶关市启之信息技术有限公司,发明,20200714,是,,是,是,是,,,20201210,20210210,20210331,,否,,,是,20210331,20210631,否,,,,,,否,,,
2.01911E+12,一种决定视频是否推送相关法律知识的方法,沈之锐,韶关市启之信息技术有限公司,发明,20190630,是,,是,是,是,20210113,20210513,,,20210623,,是,,,,,,是,,,,,,否,,已变更,
2.01911E+12,一种植物显示文字和图案的方法与装置,沈之锐,韶关市启之信息技术有限公司,发明,20190617,是,,是,是,是,20201221,20210421,,,20210625,,是,,,,,,是,20210304,20210519,20211129,20210519,,否,,,退款审批
2.01911E+12,一种电子乐谱的智能展现方法,沈之锐,韶关市启之信息技术有限公司,发明,20190617,是,,是,是,是,20201216,20210416,,,,,是,,,,,,是,20211217,,20211111,20220718,,否,,,已缴费
